School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
St Francis Xavier's College,NSW,Catholic,Secondary,Major Cities,1059,87.1,13.7,937,524,413,5,8
Holy Spirit Infants School,NSW,Catholic,Primary,Major Cities,995,8.2,6,148,75,73,11,13
St Joseph's Catholic Primary School Como - Oyster Bay,NSW,Catholic,Primary,Major Cities,1131,21.8,6.9,443,222,221,1,12
St Therese’s Community Parish School,NSW,Catholic,Primary,Very Remote,804,5,5.1,27,13,14,78,11
Highfields Preparatory and Kindergarten School,NSW,Independent,Primary,Major Cities,1166,10.4,4.1,87,45,42,0,51
"Odyssey House, Progressive Learning Centre",NSW,Independent,Special,Major Cities,,4.8,1.9,119,24,95,8,
Coffs Harbour Christian Community School,NSW,Independent,Combined,Inner Regional,1038,59,52.1,886,458,428,2,12
Learning Co-Operative School,VIC,Independent,Primary,Major Cities,1057,2.3,1,23,10,13,0,45
Mt Maria College,QLD,Catholic,Secondary,Major Cities,1068,72.1,40.5,999,499,500,2,3
Andale School,VIC,Independent,Special,Major Cities,,4,4.8,26,11,15,0,
The Currajong School,VIC,Independent,Special,Major Cities,1121,6.6,9.7,47,7,40,0,4
Mansfield Autism Statewide Services,VIC,Independent,Special,Outer Regional,,6.8,6.4,28,8,20,0,
Rossbourne School,VIC,Independent,Special,Major Cities,,23.8,6.6,129,47,82,0,
St Paul's College,VIC,Independent,Special,Major Cities,1078,12.6,21.3,48,15,33,0,13
Autism Queensland Education & Therapy Centre,QLD,Independent,Special,Major Cities,,22.3,54.9,160,30,130,8,0
Catholic Regional College Sydenham,VIC,Catholic,Secondary,Major Cities,1019,65.9,40,865,432,433,0,30
Tangara School for Girls,NSW,Independent,Combined,Major Cities,1135,53.8,11.4,616,560,56,0,32
Heritage Christian School,NSW,Independent,Combined,Inner Regional,995,34.4,21,370,179,191,11,2
Catherine McAuley College,VIC,Catholic,Secondary,Inner Regional,1038,118.7,47.6,1403,725,678,2,6
Northern Adelaide Senior College,SA,Government,Secondary,Major Cities,912,42.6,25.4,516,293,223,11,17
Marden Senior College,SA,Government,Secondary,Major Cities,1053,37,14,655,432,223,0,18
Edward John Eyre High School,SA,Government,Secondary,Outer Regional,953,31,29.9,524,252,272,15,4
Williamstown High School,VIC,Government,Secondary,Major Cities,1097,107.3,23.5,1527,790,737,1,21
Wodonga Senior Secondary College,VIC,Government,Secondary,Inner Regional,866,105.2,43.6,1102,545,557,9,7
Swinburne Senior Secondary College,VIC,Government,Secondary,Major Cities,1084,37.5,7.1,417,274,143,1,21
Echuca College,VIC,Government,Secondary,Inner Regional,957,56.4,19.4,717,322,395,9,3
Chifley College Senior Campus,NSW,Government,Secondary,Major Cities,909,49.9,14.1,478,244,234,19,50
Moree Secondary College Albert St Campus,NSW,Government,Secondary,Outer Regional,882,28.7,6.8,188,100,88,38,6
St Marys Senior High School,NSW,Government,Secondary,Major Cities,1043,66.8,12,902,571,331,1,67
Brisbane Water Secondary College Woy Woy Campus,NSW,Government,Secondary,Major Cities,971,59,13.3,682,345,337,9,10
Sydney Secondary College Blackwattle Bay Campus,NSW,Government,Secondary,Major Cities,1084,64.7,16.5,777,275,502,2,46
Launceston College,TAS,Government,Secondary,Inner Regional,985,96.4,40.5,1448,763,685,4,12
Elizabeth College,TAS,Government,Secondary,Inner Regional,996,70.4,31.1,959,515,444,5,13
Rosny College,TAS,Government,Secondary,Inner Regional,983,74,27.9,984,473,511,8,5
Sevenoaks Senior College,WA,Government,Secondary,Major Cities,976,42.5,16.3,440,218,222,9,
North Lake Senior Campus,WA,Government,Secondary,Major Cities,1026,44.9,30.4,463,224,239,1,
Cyril Jackson Senior Campus,WA,Government,Secondary,Major Cities,985,53.1,27.8,578,276,302,2,
Canning College,WA,Government,Secondary,Major Cities,,30.9,14.6,326,129,197,0,
All Saints Catholic Senior College,NSW,Catholic,Secondary,Major Cities,1024,41.2,8.8,459,244,215,3,71
Tallowood Steiner School,NSW,Independent,Primary,Outer Regional,1015,5,2.2,57,25,32,18,0
Port Lincoln Junior Primary School,SA,Government,Primary,Remote,988,22.2,11.7,287,144,143,11,17
Australia Street Infants School,NSW,Government,Primary,Major Cities,1124,9.5,3.8,99,45,54,1,19
Russell Lea Public School,NSW,Government,Primary,Major Cities,1140,14.4,2.5,258,143,115,0,31
Taverners Hill Infants School,NSW,Government,Primary,Major Cities,1115,4,1.5,61,22,39,3,25
Northern Beaches Secondary College Freshwater Senior Campus,NSW,Government,Secondary,Major Cities,1080,56.8,8.9,618,403,215,0,20
Yeo Park Infants School,NSW,Government,Primary,Major Cities,1114,3.7,1.4,53,24,29,6,42
Casuarina Senior College,NT,Government,Secondary,Outer Regional,973,55.9,27.6,904,452,452,24,40
Fowler Road School,NSW,Government,Special,Major Cities,885,12.1,10.4,49,11,38,20,17
Sefton Infants School,NSW,Government,Primary,Major Cities,1028,10.5,3,103,55,48,0,99
Blackburn English Language School,VIC,Government,Special,Major Cities,1000,51.2,17.9,431,209,222,0,100
Mount Lewis Infants School,NSW,Government,Primary,Major Cities,1020,15.3,2,185,75,110,1,96
Bankstown South Infants School,NSW,Government,Primary,Major Cities,984,10.8,3.5,117,58,59,0,98
Arncliffe West Infants School,NSW,Government,Primary,Major Cities,1046,13.5,3.2,148,77,71,0,95
Bardwell Park Infants School,NSW,Government,Primary,Major Cities,1081,2.6,0.9,30,7,23,0,63
Hurstville Grove Infants School,NSW,Government,Primary,Major Cities,1075,4.7,1.4,79,38,41,1,59
Kotara School,NSW,Government,Special,Major Cities,,6.9,6.6,28,3,25,50,
Callaghan College Jesmond Campus,NSW,Government,Secondary,Major Cities,974,54.5,12.3,612,301,311,12,13
New Lambton Heights Infants School,NSW,Government,Primary,Major Cities,1100,4.8,1.4,77,36,41,1,18
Nillo Infants School,NSW,Government,Primary,Major Cities,1059,3.8,1.4,53,25,28,9,13
Stanford Merthyr Infants School,NSW,Government,Primary,Major Cities,922,5.1,1.4,81,37,44,25,2
Glen Innes West Infants School,NSW,Government,Primary,Outer Regional,871,2.8,0.9,35,15,20,40,12
Penshurst Primary School,VIC,Government,Primary,Outer Regional,873,1.8,0.3,10,2,8,20,0
Cabramurra Public School,NSW,Government,Primary,Outer Regional,,1.3,0.9,2,1,1,0,0
Narrandera East Infants School,NSW,Government,Primary,Outer Regional,939,4.7,1.4,67,27,40,22,3
Jugiong Public School,NSW,Government,Primary,Outer Regional,1028,1.7,0.9,19,10,9,0,5
Mildura Senior College,VIC,Government,Secondary,Outer Regional,987,71.4,35.2,950,466,484,6,18
Sofala Public School,NSW,Government,Primary,Inner Regional,607,1.5,0.9,9,3,6,56,0
Goolma Public School,NSW,Government,Primary,Outer Regional,874,1.3,0.7,6,1,5,17,0
Bendigo Senior Secondary College,VIC,Government,Secondary,Inner Regional,997,111.8,47.6,1773,917,856,3,13
Myrtleford P-12 College,VIC,Government,Combined,Inner Regional,978,30.5,8.8,346,164,182,3,5
Traralgon College,VIC,Government,Secondary,Inner Regional,953,76,40.6,930,473,457,4,4
Lundavra State School,QLD,Government,Primary,Outer Regional,976,1.5,1.6,8,4,4,13,38
Perseverance Primary School,VIC,Government,Primary,Outer Regional,1078,,,6,2,4,0,33
Kioma State School,QLD,Government,Primary,Remote,1007,1.8,1.8,15,7,8,0,0
Wonthaggi Secondary College,VIC,Government,Secondary,Inner Regional,987,117.9,23.8,1384,668,716,2,4
Western Australian College Of Agriculture - Narrogin,WA,Government,Secondary,Outer Regional,1013,11.6,32.3,115,41,74,3,
Western Australian College Of Agriculture - Denmark,WA,Government,Secondary,Outer Regional,1009,10.7,33,141,67,74,2,
Western Australian College Of Agriculture - Cunderdin,WA,Government,Secondary,Outer Regional,,10.6,37.3,130,37,93,6,
St Lawrence State School,QLD,Government,Primary,Remote,,1.6,1.7,6,2,4,0,0
St Paul's International College,NSW,Independent,Secondary,Inner Regional,,28.4,17.6,156,52,104,1,8
Wongutha Christian Aboriginal Parent-Directed School,WA,Independent,Secondary,Remote,,14.6,8.5,72,43,29,100,
St Monica's College,VIC,Catholic,Secondary,Major Cities,1043,169.4,93.2,1939,954,985,0,60
Eynesbury Senior College,SA,Independent,Secondary,Major Cities,,10.2,3.9,121,69,52,1,
"De La Salle Catholic College, Cronulla",NSW,Catholic,Secondary,Major Cities,1064,36.4,10,448,249,199,1,16
All Saints College (St Mary's Campus),NSW,Catholic,Secondary,Major Cities,1029,50.5,15.7,445,264,181,5,5
Sandringham College,VIC,Government,Secondary,Major Cities,1071,78.2,32,980,420,560,1,22
St Francis Xavier College,VIC,Catholic,Secondary,Major Cities,1039,246.8,153.2,3172,1524,1648,0,20
Five Islands Secondary College,NSW,Government,Secondary,Major Cities,934,34.4,9.6,213,120,93,9,14
Hallam Senior Secondary College,VIC,Government,Secondary,Major Cities,970,60.8,24.6,771,354,417,2,33
Coffs Harbour Senior College,NSW,Government,Secondary,Inner Regional,1039,39.5,8.1,470,280,190,3,7
Collingwood English Language School,VIC,Government,Special,Major Cities,968,58.8,18.8,351,170,181,0,100
Western Australian College Of Agriculture - Morawa,WA,Government,Secondary,Remote,1005,7.8,24.6,62,18,44,8,
Guilford Young College,TAS,Catholic,Secondary,Inner Regional,1021,63.7,37.5,785,387,398,5,8
Claremont College,TAS,Government,Secondary,Inner Regional,911,38.9,22.4,457,233,224,19,3
Field of Mars Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
North East Metropolitan Language Development Centre,WA,Government,Special,Major Cities,1014,30.2,26.7,275,76,199,5,
West Coast Language Development Centre,WA,Government,Special,Major Cities,1032,30.6,27.2,311,82,229,4,
Bradfield College,NSW,Government,Secondary,Major Cities,,28.2,13.2,290,183,107,0,
Bankstown Senior College,NSW,Government,Secondary,Major Cities,896,56.2,15.7,524,262,262,0,98
Australian Institute of Music,NSW,Independent,Secondary,Major Cities,,3,0,8,6,2,0,
Blacktown Youth College Incorporated,NSW,Independent,Special,Major Cities,822,11.2,10.6,92,45,47,22,0
Wyndham College,NSW,Government,Secondary,Major Cities,1002,58.7,14.3,628,316,312,5,35
Arndell School,NSW,Government,Special,Major Cities,1092,6.9,6.6,18,5,13,6,14
Bridge Road School,NSW,Government,Special,Major Cities,,8.9,8,33,6,27,21,
Girrakool School,NSW,Government,Special,Major Cities,898,24.7,19.3,63,0,63,41,30
Dorchester School,NSW,Government,Special,Major Cities,859,14.6,13.3,66,40,26,52,7
Kyeemagh Public School,NSW,Government,Primary,Major Cities,1076,4.8,1.4,71,37,34,0,61
Putland School,NSW,Government,Special,Major Cities,894,25.8,21,104,0,104,36,58
Shepherds Park School,NSW,Government,Special,Inner Regional,867,10.8,10.1,29,0,29,45,13
Noble Park English Language School,VIC,Government,Special,Major Cities,921,96.6,28.5,706,319,387,0,100
Youth Education Centre,SA,Government,Special,Major Cities,,22.9,13.9,20,2,18,15,6
Kintore Street School,NT,Government,Special,Remote,655,15.1,10.4,45,6,39,89,48
Calrossy Anglican School,NSW,Independent,Combined,Inner Regional,1078,76.3,56.3,895,539,356,4,1
Hinchinbrook Christian School,QLD,Independent,Combined,Outer Regional,1096,3,0,9,6,3,0,0
Great Lakes College Senior Campus,NSW,Government,Secondary,Inner Regional,986,39.6,8.8,395,222,173,10,3
Christian College Institute of Senior Education,VIC,Independent,Secondary,Major Cities,,61.1,24.1,570,275,295,0,
NT Christian College,NT,Independent,Secondary,Outer Regional,971,16.9,8.1,169,82,87,25,38
Georges River College Oatley Senior Campus,NSW,Government,Secondary,Major Cities,1029,65.6,13.1,725,363,362,1,74
Australian Science and Mathematics School,SA,Government,Secondary,Major Cities,1079,35.8,12.4,373,161,212,1,31
St Patrick's College,QLD,Catholic,Secondary,Inner Regional,1022,35.4,18.7,441,241,200,2,9
OneSchool Global WA,WA,Independent,Combined,Major Cities,,28.2,13.4,255,118,137,0,0
Spirit of Play Community School,WA,Independent,Primary,Outer Regional,1078,6.4,3.6,62,25,37,0,19
Barrett Adolescent Centre Special School,QLD,Government,Special,Major Cities,,7,3.2,29,18,11,10,0
Cleveland Education and Training Centre,QLD,Government,Combined,Outer Regional,764,23.7,14.5,86,10,76,94,50
Copperfield College,VIC,Government,Secondary,Major Cities,959,172,71.5,2198,1072,1126,1,61
Induna School,NSW,Government,Special,Inner Regional,801,11.7,10.2,36,0,36,81,12
Sandy Bay Infant School,TAS,Government,Primary,Inner Regional,1105,6.5,4.7,95,44,51,1,23
Western Australian College Of Agriculture - Harvey,WA,Government,Secondary,Inner Regional,1018,15.7,35.3,172,54,118,1,
Kamaruka,VIC,Independent,Special,Major Cities,,8.4,8.8,37,0,37,0,
Barrenjoey Montessori School,NSW,Independent,Primary,Major Cities,1162,5.2,5,59,26,33,0,24
Western English Language School,VIC,Government,Special,Major Cities,937,82.2,23.1,420,206,214,0,100
Mindarie Senior College,WA,Government,Secondary,Major Cities,1034,61.6,21.8,752,438,314,1,
University Senior College at Adelaide University,SA,Independent,Secondary,Major Cities,1071,32,12.6,393,237,156,0,43
Hubbard's School,QLD,Independent,Secondary,Major Cities,,3.8,3.6,57,26,31,0,
John Tonkin College Education Support Centre,WA,Government,Special,Major Cities,999,6,14,27,12,15,7,
Cyril Jackson Senior Campus Education Support Centre,WA,Government,Special,Major Cities,985,5,14.4,32,7,25,6,
Centennial Park School,NSW,Government,Special,Major Cities,,7.7,8,39,24,15,10,0
Dubbo College Senior Campus,NSW,Government,Secondary,Inner Regional,937,57.5,16.1,526,281,245,33,5
Lavalla Catholic College,VIC,Catholic,Secondary,Inner Regional,1023,90,49.3,1181,587,594,1,7
Wakefield School,NSW,Government,Special,Major Cities,,7.1,6.6,31,5,26,32,
Verona School,NSW,Government,Special,Major Cities,,7.9,8,35,6,29,20,33
Palm Avenue School,NSW,Government,Special,Major Cities,,8.2,7.8,,,,,
Ozford College,VIC,Independent,Secondary,Major Cities,,6.4,6,114,34,80,0,
Lakes Grammar - An Anglican School,NSW,Independent,Combined,Major Cities,1065,65.3,23.5,917,456,461,4,10
Alesco Senior College,NSW,Independent,Special,Major Cities,978,32.3,16.1,355,215,140,22,0
Lincoln School,NSW,Government,Special,Inner Regional,862,10.1,8.6,37,2,35,65,23
Sale College,VIC,Government,Secondary,Inner Regional,946,67.6,38.5,798,384,414,6,5
Geraldton Senior High School,WA,Government,Secondary,Outer Regional,904,68.4,30.6,866,425,441,24,
CathWest Innovation College,NSW,Catholic,Secondary,Major Cities,991,32.2,12.1,308,122,186,6,50
Royal Far West School,NSW,Government,Special,Major Cities,,10.2,7.6,,,,,
Aurora School,VIC,Government,Special,Major Cities,1037,25,23.6,283,120,163,2,38
Stewart House School,NSW,Government,Special,Major Cities,,9,6,,,,,
Red Hill Environmental Education Centre,NSW,Government,Special,Outer Regional,,2,1.2,,,,,
Thalgarrah Environmental Education Centre,NSW,Government,Special,Outer Regional,,1.2,1.2,,,,,
Botany Bay Environmental Education Centre,NSW,Government,Special,Major Cities,,1,1,,,,,
Bournda Environmental Education Centre,NSW,Government,Special,Outer Regional,,2,1.2,,,,,
Brewongle Environmental Education Centre,NSW,Government,Special,Inner Regional,,2,1.2,,,,,
Camden Park Environmental Education Centre,NSW,Government,Special,Major Cities,,1,1,,,,,
Cascade Environmental Education Centre,NSW,Government,Special,Outer Regional,,1,1,,,,,
Dorroughby Environmental Education Centre,NSW,Government,Special,Inner Regional,,1.4,1.2,,,,,
Georges River Environmental Education Centre,NSW,Government,Special,Major Cities,,1,1,,,,,
Gibberagong Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
Illawarra Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
Longneck Lagoon Environmental Education Centre,NSW,Government,Special,Inner Regional,,2,1.2,,,,,
Observatory Hill Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
Penrith Lakes Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
Riverina Environmental Education Centre,NSW,Government,Special,Inner Regional,,2,1.2,,,,,
Royal National Park Environmental Education Centre,NSW,Government,Special,Inner Regional,,2,1.2,,,,,
Rumbalara Environmental Education Centre,NSW,Government,Special,Major Cities,,2,1.2,,,,,
Wambangalang Environmental Education Centre,NSW,Government,Special,Outer Regional,,2,1.2,,,,,
Warrumbungle National Park Environmental Education Centre,NSW,Government,Special,Outer Regional,,1,1,,,,,
Wetlands Environmental Education Centre,NSW,Government,Special,Major Cities,,2.4,1.4,,,,,
Wooglemai Environmental Education Centre,NSW,Government,Special,Inner Regional,,2,1.2,,,,,
Eastern Goldfields College,WA,Government,Secondary,Outer Regional,990,45.1,20,430,227,203,11,
Queensland Academy for Science Mathematics and Technology,QLD,Government,Secondary,Major Cities,1217,69.9,29.9,841,414,427,0,71
Western Cape College,QLD,Government,Combined,Very Remote,860,87.9,64.1,960,476,484,59,39
Spinifex State College - Mount Isa Education and Training Precinct,QLD,Government,Secondary,Remote,890,78.3,59.6,875,433,442,37,18
Roma State College,QLD,Government,Combined,Outer Regional,906,79.3,46.4,889,441,448,24,4
Albert Park Flexible Learning Centre,QLD,Catholic,Special,Major Cities,925,5.8,6.9,91,52,39,23,5
Queensland Children's Hospital School,QLD,Government,Special,Major Cities,,33.2,14.9,,,,,
Woodberry Learning Centre,NSW,Government,Special,Major Cities,,4.8,4.4,13,2,11,38,
Burnett Youth Learning Centre,QLD,Independent,Special,Inner Regional,927,10.5,4.6,54,15,39,17,0
Warakirri College,NSW,Independent,Special,Major Cities,,27.5,3.8,281,159,122,18,
Coburg High School,VIC,Government,Secondary,Major Cities,1061,66.6,18.4,869,388,481,1,31
St Patrick's Technical College,SA,Catholic,Secondary,Major Cities,1002,15.8,9.3,208,21,187,0,1
Alta-1 College,WA,Independent,Special,Major Cities,,88.5,51,729,427,302,9,0
Point Cook Senior Secondary College,VIC,Government,Secondary,Major Cities,1017,60.3,20.1,895,418,477,1,49
Queensland Academy for Creative Industries,QLD,Government,Secondary,Major Cities,1114,49.9,19.2,400,301,99,2,25
Tagai State College,QLD,Government,Combined,Very Remote,749,167,143.3,1524,703,821,96,93
Tec-NQ,QLD,Independent,Secondary,Outer Regional,967,27.1,25.2,300,19,281,20,1
Hunter Trade College,NSW,Independent,Secondary,Major Cities,982,14.4,16.4,235,9,226,8,1
Newman Senior Technical College,NSW,Catholic,Secondary,Inner Regional,992,31,29,340,143,197,10,0
NSW School of Languages,NSW,Government,Secondary,Major Cities,,89.3,13.1,,,,,
Australian Trade College North Brisbane,QLD,Independent,Secondary,Major Cities,1014,18.2,8.7,261,38,223,6,2
St George Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
Royal Prince Alfred Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
Royal North Shore Hospital School,NSW,Government,Special,Major Cities,,3.4,2.2,,,,,
Sydney Childrens Hospital School,NSW,Government,Special,Major Cities,,7.8,5.6,,,,,
Sutherland Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
Bankstown Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
Illawarra Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
John Hunter Hospital School,NSW,Government,Special,Major Cities,,3.5,2.2,,,,,
The Childrens Hospital School,NSW,Government,Special,Major Cities,,11.4,6,,,,,
Liverpool Hospital School,NSW,Government,Special,Major Cities,,2.3,2,,,,,
Holy Cross College,WA,Catholic,Combined,Major Cities,1043,76.7,30,1028,538,490,1,24
Queensland Academy for Health Sciences,QLD,Government,Secondary,Major Cities,1104,32.6,15.2,373,213,160,0,53
Australian Industry Trade College,QLD,Independent,Secondary,Major Cities,,29.4,46.9,483,52,431,1,
EdSpace,VIC,Independent,Special,Inner Regional,,3.2,4.2,18,4,14,6,
Sydney Adventist School - Auburn,NSW,Independent,Primary,Major Cities,1008,9.2,4.1,118,65,53,0,89
Deutsche Schule Melbourne,VIC,Independent,Primary,Major Cities,1209,14.1,4,126,58,68,0,73
Trades Norwest Anglican Senior College,NSW,Independent,Secondary,Major Cities,,8.4,2.4,44,5,39,2,
Pacific Coast Christian School,NSW,Independent,Combined,Major Cities,960,26,19.2,354,176,178,20,6
John Monash Science School,VIC,Government,Secondary,Major Cities,1096,49,25.6,658,315,343,0,67
Manea Senior College,WA,Government,Secondary,Inner Regional,1022,34.8,17.1,653,395,258,3,
